case_number,date,year,country,activity,sex_,age,fatal_yn,species_,Year_2,Type_attack,country_2,Gender2,Ages_2,Months,Fatality
2018.06.25,25-Jun-2018,2018.0,ADMIRALTY ISLANDS,Paddling,F,57,N,White shark,2018,Boat,ADMIRALTY ISLANDS,F,57,Jun,N
2018.06.18,18-Jun-2018,2018.0,AFRICA,Standing,F,11,N,,2018,Unprovoked,AFRICA,F,11,Jun,N
2018.06.09,09-Jun-2018,2018.0,ALGERIA,Surfing,M,48,N,,2018,No_Info,ALGERIA,M,48,Jun,N
2018.06.08,08-Jun-2018,2018.0,AMERICAN SAMOA,Surfing,M,,N,2 m shark,2018,Unprovoked,AMERICAN SAMOA,M,No_Info,Jun,N
2018.06.04,04-Jun-2018,2018.0,AMERICAN SAMOA,Free diving,M,,N,"Tiger shark, 3m",2018,Provoked,AMERICAN SAMOA,M,No_Info,Jun,N
2018.06.03.b,03-Jun-2018,2018.0,AMERICAN SAMOA,Kite surfing,M,,N,,2018,Unprovoked,AMERICAN SAMOA,M,No_Info,Jun,N
2018.06.03.a,03-Jun-2018,2018.0,ANDAMAN / NICOBAR ISLANDAS,Swimming,M,18,Y,Tiger shark,2018,Unprovoked,ANDAMAN ISLANDS,M,18,Jun,Y
2018.05.27,27-May-2018,2018.0,ANDAMAN ISLANDS,Fishing,M,52,N,"Lemon shark, 3'",2018,Unprovoked,ANDAMAN ISLANDS,M,52,May,N
2018.05.26.b,26-May-2018,2018.0,ANGOLA,Walking,M,15,N,"Bull shark, 6'",2018,Unprovoked,ANGOLA,M,15,May,N
2018.05.26.a,26-May-2018,2018.0,ANTIGUA,Standing,M,12,N,,2018,Unprovoked,ANTIGUA,M,12,May,N
2018.05.24,24-May-2018,2018.0,ANTIGUA,Feeding sharks,M,32,N,Grey reef shark,2018,Provoked,ANTIGUA,M,32,May,N
2018.05.21,21-May-2018,2018.0,ARGENTINA,Boogie boarding,M,10,N,,2018,Unprovoked,ARGENTINA,M,10,May,N
2018.05.13.b,13-May-2018,2018.0,ARUBA,Swimming,M,10,N,,2018,Unprovoked,ARUBA,M,10,May,N
2018.05.13.a,13-May-2018,2018.0,ASIA,Fishing,M,21,N,Invalid incident,2018,No_Info,ASIA,M,21,May,N
2018.05.00,May 2018,2018.0,ATLANTIC OCEAN,Feeding sharks,F,34,N,"Tawny nurse shark, 2m",2018,Provoked,ATLANTIC OCEAN,F,34,No_Info,N
2018.05.12,12-May-2018,2018.0,ATLANTIC OCEAN,Surfing,M,,N,,2018,Unprovoked,ATLANTIC OCEAN,M,No_Info,May,N
2018.05.09,09-May-2018,2018.0,ATLANTIC OCEAN,Surfing,M,,N,Shark involvement not confirmed,2018,Questionable,ATLANTIC OCEAN,M,No_Info,May,N
2018.04.30.R,Reported 30-Apr-2018,2018.0,ATLANTIC OCEAN,Swimming,M,,N,,2018,Unprovoked,ATLANTIC OCEAN,M,No_Info,Apr,N
2018.04.28.b,28-Apr-2018,2018.0,ATLANTIC OCEAN,Scuba diving,M,30,N,Tiger shark,2018,Unprovoked,ATLANTIC OCEAN,M,30,Apr,N
2018.04.28.a,28-Apr-2018,2018.0,ATLANTIC OCEAN,Surfing,M,,N,,2018,Unprovoked,ATLANTIC OCEAN,M,No_Info,Apr,N
